id; last_times_detected; lifetime; left_lifetime; detection_confidence; blinking_freq; movement_vector; last_positions;
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 201; 10; 56; 15.0; (-4.75, 3.25); [(669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 202; 9; 57; 15.0; (-4.75, 3.25); [(669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 203; 10; 58; 15.0; (-4.75, 3.25); [(664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 204; 9; 59; 15.0; (-4.75, 3.25); [(664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 205; 10; 60; 15.0; (-4.75, 3.25); [(659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 206; 9; 61; 15.0; (-4.75, 3.25); [(659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 207; 10; 62; 15.0; (-4.75, 3.25); [(654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 208; 9; 63; 15.0; (-4.75, 3.25); [(654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 209; 10; 64; 15.0; (-4.6875, 3.25); [(649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 210; 9; 65; 15.0; (-4.6875, 3.25); [(649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0)];
